,School Name,Address,School type,Board,School Type,School Type.1,Established year,Address1,Details,School_type,P/G,Board,Co-Educational,Established
304,Bachpan A Play School - Kadapa 2,"Door No. 76/97, Ramaraj Pally
Kadapa - 516002, Andhra Pradesh, India
Mobile : 9100446699, 9100445599
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Door No. 76/97, Ramaraj Pally
Kadapa - 516002, Andhra Pradesh, India
Mobile : 9100446699, 9100445599
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
305,Bachpan A Play School - Kadapa1,"H.No. 1/645-6, Maruthi Nagar
Kadapa - 516001, Andhra Pradesh, India
Mobile : 9347410335, 8562257047
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"H.No. 1/645-6, Maruthi Nagar
Kadapa - 516001, Andhra Pradesh, India
Mobile : 9347410335, 8562257047
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
306,Bachpan A Play School - Kanuru,"D.No. 7-18, Lalitha Building, Kamayathopu Center, Kanuru
Vijayawada - 534229, Andhra Pradesh, India
Mobile : 7799647722, 9441620620
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"D.No. 7-18, Lalitha Building, Kamayathopu Center, Kanuru
Vijayawada - 534229, Andhra Pradesh, India
Mobile : 7799647722, 9441620620
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
307,Bachpan A Play School - Kompally,"Plot No. 7A, Danda Mudi Enclave, Beside New Zee Daba, Pet Baseerabad, Jeedimetla
Hyderabad - 500062, Andhra Pradesh, India
Phone: (040) 64607722
Mobile : 9246165722
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Plot No. 7A, Danda Mudi Enclave, Beside New Zee Daba, Pet Baseerabad, Jeedimetla
Hyderabad - 500062, Andhra Pradesh, India
Phone: (040) 64607722
Mobile : 9246165722
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
308,Bachpan A Play School - Kondapur,"Plot No. 7 & 8, Hanuman Nagar, Near Aparna Towers, Opposite GEM Motors, Kondapur
Hyderabad - 500081, Andhra Pradesh, India
Phone: (040) 257457
Mobile : 9618250250
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Plot No. 7 & 8, Hanuman Nagar, Near Aparna Towers, Opposite GEM Motors, Kondapur
Hyderabad - 500081, Andhra Pradesh, India
Phone: (040) 257457
Mobile : 9618250250
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
309,Bachpan A Play School - Kothapet,"1-1-660, Opp. Electricity Sub Division Office, CTO Colony, Mohan Nagar
Hyderabad - 500035, Andhra Pradesh, India
Phone: (040) 65535947
Mobile : 9133932246
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"1-1-660, Opp. Electricity Sub Division Office, CTO Colony, Mohan Nagar
Hyderabad - 500035, Andhra Pradesh, India
Phone: (040) 65535947
Mobile : 9133932246
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
310,Bachpan A Play School - KPBH Colony,"Plot No. 66, Behind Park, Near Malaysian Circle, Phase 9, KPHB Colony, Kukatpally P.O.
Hyderabad - 500072, Andhra Pradesh, India
Mobile : 9391958989, 9217101236
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Plot No. 66, Behind Park, Near Malaysian Circle, Phase 9, KPHB Colony, Kukatpally P.O.
Hyderabad - 500072, Andhra Pradesh, India
Mobile : 9391958989, 9217101236
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
311,Bachpan A Play School - Kukatpally,"HIG-258, Phase 6, KPHB Colony, Near Gokul Flat, Kukatpally
Hyderabad - 500072, Andhra Pradesh, India
Mobile : 9391958989, 9390780700
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"HIG-258, Phase 6, KPHB Colony, Near Gokul Flat, Kukatpally
Hyderabad - 500072, Andhra Pradesh, India
Mobile : 9391958989, 9390780700
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
312,Bachpan A Play School - Laxmipuram,"D.No. C, 5-89-6, Beside Abhyudaya Mahila Collge, 3rd Lane, Laxmipuram
Guntur - 522007, Andhra Pradesh, India
Mobile : 9959769966, 9246735434
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"D.No. C, 5-89-6, Beside Abhyudaya Mahila Collge, 3rd Lane, Laxmipuram
Guntur - 522007, Andhra Pradesh, India
Mobile : 9959769966, 9246735434
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
313,Bachpan A Play School - Lingampally,"LE 10, Aliens Valley, Manjeera Diamond Towers, Near Aparna Sarowar, Gopanpally (Post), Nallagandla
Hyderabad - 500019, Andhra Pradesh, India
Phone: (040) 60606020
Mobile : 9666622218, 90322331111
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"LE 10, Aliens Valley, Manjeera Diamond Towers, Near Aparna Sarowar, Gopanpally (Post), Nallagandla
Hyderabad - 500019, Andhra Pradesh, India
Phone: (040) 60606020
Mobile : 9666622218, 90322331111
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
314,Bachpan A Play School - Machavaram,"House No. 31-20-8, Rambrahmam Street, Opposite Maa Super Market Road, Vijayawada Krishna Machavaram Down Krishna
Vijayawada - 520004, Andhra Pradesh, India
Mobile : 8099949222
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"House No. 31-20-8, Rambrahmam Street, Opposite Maa Super Market Road, Vijayawada Krishna Machavaram Down Krishna
Vijayawada - 520004, Andhra Pradesh, India
Mobile : 8099949222
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
315,Bachpan A Play School - Madhapur,"Image Hospital Lane, Near Karvy Office
Hyderabad - 500072, Andhra Pradesh, India
Mobile : 9618755500
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Image Hospital Lane, Near Karvy Office
Hyderabad - 500072, Andhra Pradesh, India
Mobile : 9618755500
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
316,Bachpan A Play School - Mahaboob Nagar,"2-2-2/2/D, Opp. Modern High School, Mahaboob Nagar
Mahbubnagar - 509301, Andhra Pradesh, India
Phone: (08542) 221177
Mobile : 9440295977
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"2-2-2/2/D, Opp. Modern High School, Mahaboob Nagar
Mahbubnagar - 509301, Andhra Pradesh, India
Phone: (08542) 221177
Mobile : 9440295977
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
317,Bachpan A Play School - Mahindra Hills,"H.No. 132, Opposite 2 Auxilium Chruch, Road No. 1, Trimurty Colony, Mahindra Hills, East Mareddpally
Hyderabad - 500026, Andhra Pradesh, India
Mobile : 9248032111, 9246534150
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"H.No. 132, Opposite 2 Auxilium Chruch, Road No. 1, Trimurty Colony, Mahindra Hills, East Mareddpally
Hyderabad - 500026, Andhra Pradesh, India
Mobile : 9248032111, 9246534150
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
318,Bachpan A Play School - Malakpet,"House No. 16-2-705/1-12 A, Professor’s Colony, Malakpet
Hyderabad - 500036, Andhra Pradesh, India
Phone: (040) 64546400
Mobile : 9848033811
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"House No. 16-2-705/1-12 A, Professor’s Colony, Malakpet
Hyderabad - 500036, Andhra Pradesh, India
Phone: (040) 64546400
Mobile : 9848033811
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
319,Bachpan A Play School - Malkajgiri,"H.No. 24-36/1/5, Shivpuri Colony, Lane Opposite Bank of Maharashtra, Near Anandbhag X Road, Malkajgiri
Secunderabad - 500047, Andhra Pradesh, India
Phone: (040) 27240027
Mobile : 9912349908
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"H.No. 24-36/1/5, Shivpuri Colony, Lane Opposite Bank of Maharashtra, Near Anandbhag X Road, Malkajgiri
Secunderabad - 500047, Andhra Pradesh, India
Phone: (040) 27240027
Mobile : 9912349908
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
320,Bachpan A Play School - Manikonda,"Plot No. 31, Street No. 2, Lalmma Gardens, Puppala Guda, Main Road, Manikonda
Hyderabad - 500032, Andhra Pradesh, India
Phone: (040) 69994383
Mobile : 9246338345
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Plot No. 31, Street No. 2, Lalmma Gardens, Puppala Guda, Main Road, Manikonda
Hyderabad - 500032, Andhra Pradesh, India
Phone: (040) 69994383
Mobile : 9246338345
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
321,Bachpan A Play School - Mansoorabad,"Plot No. 31, Ragala Enclave, Behind Deccan Grameena Bank, Opposite Sahara Gate, Mansoorabad
Hyderabad - 500068, Andhra Pradesh, India
Phone: (040) 64616125
Mobile : 9346684111
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Plot No. 31, Ragala Enclave, Behind Deccan Grameena Bank, Opposite Sahara Gate, Mansoorabad
Hyderabad - 500068, Andhra Pradesh, India
Phone: (040) 64616125
Mobile : 9346684111
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
322,Bachpan A Play School - Meerpet,"House No. 2-48, Opp. Aruna Hospital, Jillelguda, Meerpet
Hyderabad - 500079, Andhra Pradesh, India
Mobile : 9032016005, 9060607061
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"House No. 2-48, Opp. Aruna Hospital, Jillelguda, Meerpet
Hyderabad - 500079, Andhra Pradesh, India
Mobile : 9032016005, 9060607061
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
323,Bachpan A Play School - Miyapur,"Plot No. 43 & 44, Pragathi Enclave, Miyapur
Hyderabad - 500049, Andhra Pradesh, India
Phone: (040) 32997716
Mobile : 9394474111
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Plot No. 43 & 44, Pragathi Enclave, Miyapur
Hyderabad - 500049, Andhra Pradesh, India
Phone: (040) 32997716
Mobile : 9394474111
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
324,Bachpan A Play School - Moti Nagar,"H.No. 1-157/3/3, Plot No. 44, Lane Beside E- Seva, Snehapuri Colony, Moti Nagar, Borabanda
Hyderabad - 500018, Andhra Pradesh, India
Phone: (040) 31905588
Mobile : 9347765588
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"H.No. 1-157/3/3, Plot No. 44, Lane Beside E- Seva, Snehapuri Colony, Moti Nagar, Borabanda
Hyderabad - 500018, Andhra Pradesh, India
Phone: (040) 31905588
Mobile : 9347765588
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
325,Bachpan A Play School - Murali Nagar,"Door No. 39-4-8, Ground & First Floor, Behind Prashanti Park, Near Ayyappa Nagar Bus Stop, Sector 4, Murali Nagar
Vishakhapatnam - 530007, Andhra Pradesh, India
Mobile : 9247874875, 9246666672
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Door No. 39-4-8, Ground & First Floor, Behind Prashanti Park, Near Ayyappa Nagar Bus Stop, Sector 4, Murali Nagar
Vishakhapatnam - 530007, Andhra Pradesh, India
Mobile : 9247874875, 9246666672
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
326,Bachpan A Play School - Nagaram,"H.No. 1-6/1, Besides Gram Panchyat Office, Nagaram, ECIL
Hyderabad - 500083, Andhra Pradesh, India
Mobile : 8978975975
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"H.No. 1-6/1, Besides Gram Panchyat Office, Nagaram, ECIL
Hyderabad - 500083, Andhra Pradesh, India
Mobile : 8978975975
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
327,Bachpan A Play School - Nagole,"H.No. 12-1-502/2, Indraprasta Colony, Anand Nagar X Road, Bandlaguda, Nagole
Hyderabad - 500068, Andhra Pradesh, India
Phone: (040) 32218333
Mobile : 9392218333
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"H.No. 12-1-502/2, Indraprasta Colony, Anand Nagar X Road, Bandlaguda, Nagole
Hyderabad - 500068, Andhra Pradesh, India
Phone: (040) 32218333
Mobile : 9392218333
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
328,Bachpan A Play School - Nallakunta,"2-1-512/6, Street No. 8, Beside SBH, Nallakunta
Hyderabad - 500044, Andhra Pradesh, India
Phone: (040) 27407715
Mobile : 9392996555
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"2-1-512/6, Street No. 8, Beside SBH, Nallakunta
Hyderabad - 500044, Andhra Pradesh, India
Phone: (040) 27407715
Mobile : 9392996555
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
329,Bachpan A Play School - Near Yashoda Garden,"Plot No. 63 Ramyya Nagar, Near Yashoda Garden, B.J.P. Office Lane
Hyderabad - 500072, Andhra Pradesh, India
Mobile : 9391958989
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Plot No. 63 Ramyya Nagar, Near Yashoda Garden, B.J.P. Office Lane
Hyderabad - 500072, Andhra Pradesh, India
Mobile : 9391958989
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
330,Bachpan A Play School - New Town,"H.No. 6-3-143, Opposite Comfort Residency Apartment, New Town, Ram Nagar
Anantapur - 515001, Andhra Pradesh, India
Mobile : 9866737348, 8554227777
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"H.No. 6-3-143, Opposite Comfort Residency Apartment, New Town, Ram Nagar
Anantapur - 515001, Andhra Pradesh, India
Mobile : 9866737348, 8554227777
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
331,Bachpan A Play School - Nirmal,"Lane Beside, Bharath Petrol Pump, Natraj Nagar, Nirmal
Adilabad, Andhra Pradesh, India
Mobile : 9246918583, 9848408583, 9848641501
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Lane Beside, Bharath Petrol Pump, Natraj Nagar, Nirmal
Adilabad, Andhra Pradesh, India
Mobile : 9246918583, 9848408583, 9848641501
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
332,Bachpan A Play School - Nizampet,"3-83/A/3, Near Eswal Vilas Road, Nizampet
Hyderabad - 500072, Andhra Pradesh, India
Mobile : 9347232921
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"3-83/A/3, Near Eswal Vilas Road, Nizampet
Hyderabad - 500072, Andhra Pradesh, India
Mobile : 9347232921
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
333,Bachpan A Play School - NTR Chowk,"House No. 4-4-122/11, Lane Beside R and B Guest House, NTR Chowk
Adilabad, Andhra Pradesh, India
Mobile : 9246888895, 9246918583
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"House No. 4-4-122/11, Lane Beside R and B Guest House, NTR Chowk
Adilabad, Andhra Pradesh, India
Mobile : 9246888895, 9246918583
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
334,Bachpan A Play School - Old Alwal,"Plot No. 18 Raja Reddy Complex, Opposite South Indian Bank, Raja Reddy Colony, Old Alwal
Secunderabad - 500012, Andhra Pradesh, India
Phone: (040) 27978889
Mobile : 9848049200
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Plot No. 18 Raja Reddy Complex, Opposite South Indian Bank, Raja Reddy Colony, Old Alwal
Secunderabad - 500012, Andhra Pradesh, India
Phone: (040) 27978889
Mobile : 9848049200
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
335,Bachpan A Play School - Pragathi Nagar,"Near Elephant Junction, Apuroopa Colony, Pragathi Nagar
Hyderabad - 500072, Andhra Pradesh, India
Mobile : 7702607373, 7702607575
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Near Elephant Junction, Apuroopa Colony, Pragathi Nagar
Hyderabad - 500072, Andhra Pradesh, India
Mobile : 7702607373, 7702607575
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
336,Bachpan A Play School - Ram Nagar,"Plot No. 1, T.S. No. 78, Kailash Mitta, Focar Layout, Ram Nagar
Vishakhapatnam - 530003, Andhra Pradesh, India
Mobile : 9246114150
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Plot No. 1, T.S. No. 78, Kailash Mitta, Focar Layout, Ram Nagar
Vishakhapatnam - 530003, Andhra Pradesh, India
Mobile : 9246114150
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
337,Bachpan A Play School - Ramachandra Nagar,"Plot No. 73, 74,75, Ramachandra Nagar, Near NCC Canteen, Dinnadevarapadu Road
Kurnool - 518002, Andhra Pradesh, India
Mobile : 9885317173, 9885652342
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Plot No. 73, 74,75, Ramachandra Nagar, Near NCC Canteen, Dinnadevarapadu Road
Kurnool - 518002, Andhra Pradesh, India
Mobile : 9885317173, 9885652342
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
338,Bachpan A Play School - Ramaiya Nagar,"Plot No. 63, Ramaiya Nagar, Near Yashoda Gardern, BJP Office Lane, Kukatpally
Hyderabad - 560054, Andhra Pradesh, India
Mobile : 9391958989, 9217101236
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Plot No. 63, Ramaiya Nagar, Near Yashoda Gardern, BJP Office Lane, Kukatpally
Hyderabad - 560054, Andhra Pradesh, India
Mobile : 9391958989, 9217101236
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
339,Bachpan A Play School - Sainik Puri,"Plot No. 946, Door No. 37-18/813, Defence Colony, Sainik Puri
Secunderabad - 500094, Andhra Pradesh, India
Phone: (040) 27112300
Mobile : 9912349908
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Plot No. 946, Door No. 37-18/813, Defence Colony, Sainik Puri
Secunderabad - 500094, Andhra Pradesh, India
Phone: (040) 27112300
Mobile : 9912349908
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
340,Bachpan A Play School - Saroor Nagar,"H.No. 8-100-5/1, Kranti Nagar Colony, Near Huda Complex, Saroor Nagar
Hyderabad - 500035, Andhra Pradesh, India
Phone: (040) 64507105
Mobile : 9246525860
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"H.No. 8-100-5/1, Kranti Nagar Colony, Near Huda Complex, Saroor Nagar
Hyderabad - 500035, Andhra Pradesh, India
Phone: (040) 64507105
Mobile : 9246525860
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
341,Bachpan A Play School - Shamshabad,"H.No. 20-114, Near Bus Stand, R.B. Nagar Colony, Shamshabad
Rangareddi - 501218, Andhra Pradesh, India
Mobile : 9948444540, 9951344118
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"H.No. 20-114, Near Bus Stand, R.B. Nagar Colony, Shamshabad
Rangareddi - 501218, Andhra Pradesh, India
Mobile : 9948444540, 9951344118
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
342,Bachpan A Play School - Siddipet,"H.No. 11-1-91, Shivaji Nagar (Bharat Nagar), Siddipet
Medak - 502032, Andhra Pradesh, India
Mobile : 9533931111, 9533941111
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"H.No. 11-1-91, Shivaji Nagar (Bharat Nagar), Siddipet
Medak - 502032, Andhra Pradesh, India
Mobile : 9533931111, 9533941111
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
343,Bachpan A Play School - SR Nagar,"63-B and 76-B, Street No. 8 and 9, Lane No. 14, Near Community Hall, S.R. Nagar
Hyderabad - 500038, Andhra Pradesh, India
Phone: (040) 31901299
Mobile : 9391192299
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"63-B and 76-B, Street No. 8 and 9, Lane No. 14, Near Community Hall, S.R. Nagar
Hyderabad - 500038, Andhra Pradesh, India
Phone: (040) 31901299
Mobile : 9391192299
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
344,Bachpan A Play School - Sun City,"Plot No. 25, Shanthi Nagar Colony, Hydershakote, Sun City
Hyderabad - 500034, Andhra Pradesh, India
Mobile : 9963001999
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Plot No. 25, Shanthi Nagar Colony, Hydershakote, Sun City
Hyderabad - 500034, Andhra Pradesh, India
Mobile : 9963001999
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
345,Bachpan A Play School - Tandur,"H.No. 3-184-86, Yashoda Nagar Colony, Opposite M.M. Court, Tandur
Rangareddi - 501141, Andhra Pradesh, India
Mobile : 9490003355, 9948946373
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"H.No. 3-184-86, Yashoda Nagar Colony, Opposite M.M. Court, Tandur
Rangareddi - 501141, Andhra Pradesh, India
Mobile : 9490003355, 9948946373
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
346,Bachpan A Play School - Tarnaka,"House No. 12-32/15/3, Vijayapuri Colony, Opposite Road to St. Ann's High School, Taranaka
Hyderabad - 500007, Andhra Pradesh, India
Mobile : 9246534150, 9393334150
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"House No. 12-32/15/3, Vijayapuri Colony, Opposite Road to St. Ann's High School, Taranaka
Hyderabad - 500007, Andhra Pradesh, India
Mobile : 9246534150, 9393334150
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
347,Bachpan A Play School - Tilak Road,"4-3-561, Opposite Endowment Office, Ramkoti, Abids, Boggula Kunta
Hyderabad - 500016, Andhra Pradesh, India
Phone: (040) 65874451
Mobile : 9290849284
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"4-3-561, Opposite Endowment Office, Ramkoti, Abids, Boggula Kunta
Hyderabad - 500016, Andhra Pradesh, India
Phone: (040) 65874451
Mobile : 9290849284
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
348,Bachpan A Play School - Tolichowki,"Venus High School, Beside Darussalam Bank, Toli Chowki
Hyderabad - 500008, Andhra Pradesh, India
Phone: (040) 23562847
Mobile : 9391046826
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Venus High School, Beside Darussalam Bank, Toli Chowki
Hyderabad - 500008, Andhra Pradesh, India
Phone: (040) 23562847
Mobile : 9391046826
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
349,Bachpan A Play School - Trimulgherry,"Plot No. 137, S.P. Colony, Trimulgherry
Secunderabad - 500015, Andhra Pradesh, India
Phone: (040) 27990000
Mobile : 9948089666
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Plot No. 137, S.P. Colony, Trimulgherry
Secunderabad - 500015, Andhra Pradesh, India
Phone: (040) 27990000
Mobile : 9948089666
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
350,Bachpan A Play School - Uppal,"P & T Colony, Near Uppal Bus Depot, Near Allahabad Bank
Hyderabad - 500039, Andhra Pradesh, India
Mobile : 9866032599
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"P & T Colony, Near Uppal Bus Depot, Near Allahabad Bank
Hyderabad - 500039, Andhra Pradesh, India
Mobile : 9866032599
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
351,Bachpan A Play School - Vanasthalipuram,"Plot No. 226, Road No. 10, Opposite Reliance Fresh, Vanasthali Hill Colony, Vanasthalipuram
Hyderabad - 500070, Andhra Pradesh, India
Phone: (040) 32997746
Mobile : 9394285111
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Plot No. 226, Road No. 10, Opposite Reliance Fresh, Vanasthali Hill Colony, Vanasthalipuram
Hyderabad - 500070, Andhra Pradesh, India
Phone: (040) 32997746
Mobile : 9394285111
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
352,Bachpan A Play School - West Marredpally,"10-2-2-2, Entrenchment Road, Street No. 5, West Marredpally
Secunderabad - 500026, Andhra Pradesh, India
Phone: (040) 2771782
Mobile : 9849020554
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"10-2-2-2, Entrenchment Road, Street No. 5, West Marredpally
Secunderabad - 500026, Andhra Pradesh, India
Phone: (040) 2771782
Mobile : 9849020554
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
353,Badruka Junior College for Girls - BJCG,"Badruka Campus, Kachiguda Station Road, Kachiguda
Hyderabad - 500027, Andhra Pradesh, India
Phone: (040) 24607158
Details:
Senior Secondary School
Maharashtra State Board of Secondary and Higher Secondary Education
Private School
Girls Only School
Established in 1994",Senior Secondary School,Maharashtra State Board of Secondary and Higher Secondary Education,Private School,Girls Only School,Established in 1994,"Badruka Campus, Kachiguda Station Road, Kachiguda
Hyderabad - 500027, Andhra Pradesh, India
Phone: (040) 24607158
","Senior Secondary School
Maharashtra State Board of Secondary and Higher Secondary Education
Private School
Girls Only School
Established in 1994",Senior Secondary School,Private School,Maharashtra State Board of Secondary and Higher Secondary Education,,Established in 1994
